week,system_name,entity,engineer,fte_used,workload_hours
2026-W22,API Gateway,ATJ,Engineer 03,1.54,61.51
2026-W21,MES,ATD,Engineer 09,0.33,13.14
2026-W20,WMS,ATJ,Engineer 09,0.3,11.91
2026-W19,API Gateway,ATJ,Engineer 14,0.47,18.65
2026-W18,SAP,ATD,Engineer 07,1.14,45.54
2026-W17,WMS,ATD,Engineer 08,0.66,26.34
2026-W16,AP Portal,ATJ,Engineer 11,0.88,35.31
2026-W15,MES,AC,Engineer 05,0.5,20.12
2026-W14,Finance System,ATD,Engineer 17,0.73,29.25
2026-W13,Finance System,ATJ,Engineer 06,0.84,33.66
2026-W12,API Gateway,ATD,Engineer 06,1.16,46.24
2026-W11,API Gateway,ATD II,Engineer 10,0.8,32.16
2026-W22,Finance System,AC,Engineer 08,0.76,30.42
2026-W21,MES,ATD II,Engineer 12,0.34,13.71
2026-W20,SAP,ATD,Engineer 03,0.61,24.56
2026-W19,MES,AC,Engineer 09,0.69,27.55
2026-W18,SAP,ATD II,Engineer 14,0.56,22.34
2026-W17,SAP,ATJ,Engineer 11,0.77,30.84
2026-W16,Quality System,ATD II,Engineer 05,0.9,36.16
2026-W15,SAP,ATJ,Engineer 01,0.87,34.95
2026-W14,API Gateway,AC,Engineer 11,1.6,64.08
2026-W13,WMS,ATD II,Engineer 01,0.81,32.25
2026-W12,Finance System,ATD,Engineer 08,0.49,19.73
2026-W11,Quality System,ATD,Engineer 02,0.58,23.36
2026-W22,MES,ATD,Engineer 12,0.58,23.08
2026-W21,API Gateway,AC,Engineer 04,1.47,58.91
2026-W20,MES,ATD II,Engineer 09,0.34,13.69
2026-W19,SAP,ATJ,Engineer 09,0.54,21.78
2026-W18,HR System,ATD II,Engineer 07,1.09,43.6
2026-W17,MES,ATD,Engineer 14,0.38,15.29
2026-W16,WMS,ATD II,Engineer 11,0.27,10.98
2026-W15,SAP,ATD II,Engineer 09,0.59,23.68
2026-W14,AP Portal,ATD,Engineer 11,1.05,42.04
2026-W13,MES,ATD,Engineer 05,0.43,17.27
2026-W12,API Gateway,AC,Engineer 10,0.41,16.52
2026-W11,MES,ATD II,Engineer 07,1.16,46.31
2026-W22,SAP,ATJ,Engineer 17,0.24,9.67
2026-W21,Finance System,ATD II,Engineer 06,0.74,29.69
2026-W20,SAP,AC,Engineer 09,0.59,23.51
2026-W19,MES,ATD,Engineer 12,0.58,23.1
2026-W18,SAP,ATJ,Engineer 12,1.22,48.98
2026-W17,Finance System,ATD,Engineer 05,0.34,13.45
2026-W16,SAP,ATD II,Engineer 07,0.3,12.03
2026-W15,Finance System,ATJ,Engineer 05,0.87,34.97
2026-W14,MES,AC,Engineer 09,0.39,15.58
2026-W13,SAP,ATD,Engineer 18,1.38,55.01
2026-W12,WMS,ATD II,Engineer 07,0.76,30.56
2026-W11,SAP,AC,Engineer 10,0.35,13.91
2026-W22,MES,ATD,Engineer 12,0.72,28.96
2026-W21,HR System,ATD,Engineer 15,0.33,13.28
2026-W20,MES,ATD,Engineer 16,0.71,28.6
2026-W19,SAP,ATD II,Engineer 16,0.93,37.12
2026-W18,MES,AC,Engineer 09,0.51,20.57
2026-W17,SAP,AC,Engineer 09,0.28,11.18
2026-W16,MES,AC,Engineer 02,0.53,21.09
2026-W15,SAP,ATJ,Engineer 17,0.68,27.19
2026-W14,SAP,AC,Engineer 03,1.37,54.87
2026-W13,SAP,ATD,Engineer 04,0.84,33.72
2026-W12,SAP,ATD II,Engineer 12,0.93,37.38
2026-W11,API Gateway,AC,Engineer 18,0.76,30.27
2026-W22,MES,ATJ,Engineer 11,1.95,77.83
2026-W21,Finance System,ATJ,Engineer 02,0.34,13.51
2026-W20,WMS,ATD II,Engineer 14,0.88,35.26
2026-W19,Quality System,AC,Engineer 01,0.7,28.12
2026-W18,HR System,AC,Engineer 05,0.48,19.28
2026-W17,MES,ATJ,Engineer 02,0.85,34.2
2026-W16,API Gateway,AC,Engineer 18,0.55,21.94
2026-W15,SAP,ATD II,Engineer 16,0.76,30.59
2026-W14,SAP,ATD,Engineer 15,0.81,32.44
2026-W13,AP Portal,ATD II,Engineer 04,0.67,26.83
2026-W12,AP Portal,ATJ,Engineer 07,0.63,25.16
2026-W11,Finance System,ATJ,Engineer 02,0.41,16.49
2026-W22,SAP,ATD II,Engineer 06,0.54,21.64
2026-W21,API Gateway,AC,Engineer 18,0.73,29.1
2026-W20,SAP,ATD II,Engineer 15,0.51,20.21
2026-W19,AP Portal,AC,Engineer 07,0.75,30.19
2026-W18,API Gateway,ATD II,Engineer 07,1.35,53.87
2026-W17,HR System,ATD,Engineer 04,0.77,30.79
2026-W16,SAP,ATD II,Engineer 11,0.94,37.47
2026-W15,Quality System,ATD,Engineer 17,0.26,10.55
2026-W14,MES,ATD,Engineer 09,1.22,48.92
2026-W13,Finance System,AC,Engineer 10,0.95,37.81
2026-W12,MES,ATD,Engineer 07,0.45,17.82
2026-W11,SAP,ATD,Engineer 04,0.83,33.1
2026-W22,Finance System,ATD II,Engineer 07,0.88,35.31
2026-W21,SAP,AC,Engineer 01,0.85,33.97
2026-W20,SAP,ATJ,Engineer 04,0.3,12.03
2026-W19,MES,AC,Engineer 10,0.3,12.04
2026-W18,SAP,ATD II,Engineer 16,0.71,28.5
2026-W17,Quality System,ATD II,Engineer 11,0.22,8.96
2026-W16,WMS,ATD,Engineer 01,0.43,17.38
2026-W15,AP Portal,ATJ,Engineer 06,0.94,37.77
2026-W14,Finance System,AC,Engineer 07,1.17,46.74
2026-W13,Finance System,AC,Engineer 17,0.84,33.48
2026-W12,SAP,ATD II,Engineer 09,0.5,19.94
2026-W11,SAP,AC,Engineer 07,1.49,59.68
2026-W22,API Gateway,ATD II,Engineer 07,1.38,55.11
2026-W21,WMS,ATD,Engineer 04,0.61,24.38
2026-W20,MES,ATD II,Engineer 11,0.59,23.62
2026-W19,AP Portal,ATD II,Engineer 07,0.67,26.66
2026-W18,SAP,ATD II,Engineer 03,1.85,74.13
2026-W17,MES,ATD,Engineer 05,0.68,27.13
2026-W16,API Gateway,AC,Engineer 07,0.82,32.75
2026-W15,WMS,ATD II,Engineer 15,0.72,28.75
2026-W14,Finance System,ATJ,Engineer 13,0.42,16.91
2026-W13,Quality System,ATJ,Engineer 07,0.93,37.23
2026-W12,HR System,AC,Engineer 02,0.71,28.45
2026-W11,SAP,ATD,Engineer 16,0.84,33.63
2026-W22,WMS,AC,Engineer 15,0.62,24.75
2026-W21,SAP,ATD,Engineer 11,0.22,8.82
2026-W20,Finance System,AC,Engineer 06,0.55,21.82
2026-W19,WMS,ATD II,Engineer 07,0.64,25.52
2026-W18,Finance System,AC,Engineer 11,1.27,50.66
2026-W17,WMS,ATD II,Engineer 06,0.45,18.02
2026-W16,API Gateway,ATD,Engineer 05,0.31,12.49
2026-W15,WMS,ATD,Engineer 09,0.7,28.16
2026-W14,SAP,AC,Engineer 14,0.33,13.11
2026-W13,AP Portal,ATJ,Engineer 03,0.48,19.13
2026-W12,Finance System,ATD,Engineer 06,0.36,14.33
2026-W11,WMS,ATD,Engineer 08,0.41,16.45
2026-W22,HR System,AC,Engineer 08,0.87,34.73
2026-W21,MES,ATD,Engineer 09,0.74,29.72
2026-W20,API Gateway,ATJ,Engineer 05,0.67,26.89
2026-W19,AP Portal,AC,Engineer 10,0.81,32.24
2026-W18,AP Portal,ATD,Engineer 10,0.27,10.83
2026-W17,WMS,AC,Engineer 04,0.35,14.18
2026-W16,WMS,ATD II,Engineer 03,0.76,30.49
2026-W15,WMS,ATD,Engineer 03,0.55,21.88
2026-W14,MES,ATD II,Engineer 18,0.54,21.56
2026-W13,Finance System,AC,Engineer 17,0.45,18.18
2026-W12,MES,ATD,Engineer 15,1.02,40.89
2026-W11,WMS,ATJ,Engineer 05,0.36,14.25
2026-W22,HR System,ATD II,Engineer 09,0.57,22.87
2026-W21,MES,ATJ,Engineer 18,0.53,21.29
2026-W20,API Gateway,ATD II,Engineer 04,0.51,20.56
2026-W19,Finance System,ATJ,Engineer 12,0.25,9.95
2026-W18,Finance System,ATD,Engineer 09,0.31,12.46
2026-W17,WMS,ATJ,Engineer 14,0.46,18.55
2026-W16,SAP,ATD,Engineer 12,0.37,14.74
2026-W15,Finance System,ATD II,Engineer 18,0.49,19.47
2026-W14,HR System,ATD II,Engineer 07,0.87,34.83
2026-W13,WMS,ATD II,Engineer 15,0.93,37.19
