ticket_id,created_at,resolved_at,week,issue_type,priority,status,system_name,entity,request_channel,assigned_to,resolution_owner,time_spent_hours,sla_target_hours,change_type
TCK-00001,2026-05-12 19:02:00,2026-05-13 00:02:00,2026-W19,Service Request,P3,Resolved,SAP,ATD,Email,Engineer 16,Engineer 16,7.49,72,NA
TCK-00002,2026-05-23 11:08:00,2026-05-25 09:08:00,2026-W20,Hot Fix,P2,Closed,WMS,ATD,Teams,Engineer 07,Engineer 07,5.71,24,NA
TCK-00003,2026-06-04 02:00:00,,2026-W22,Change Request,P3,Open,Quality System,ATD,Email,Engineer 02,Engineer 11,9.38,72,Normal Change
TCK-00004,2026-06-03 13:00:00,,2026-W22,Incident,P1,Open,SAP,AC,Monitoring,Engineer 01,Engineer 10,1.53,8,NA
TCK-00005,2026-05-14 15:07:00,2026-05-17 01:07:00,2026-W19,Service Request,P2,Resolved,AP Portal,ATD II,Phone,Engineer 16,Engineer 16,2.34,24,NA
TCK-00006,2026-05-09 08:26:00,2026-05-10 10:26:00,2026-W18,Incident,P3,Closed,MES,ATD II,Email,Engineer 11,Engineer 11,10.84,72,NA
TCK-00007,2026-03-30 08:35:00,2026-04-01 07:35:00,2026-W13,Hot Fix,P2,Closed,MES,ATD II,Monitoring,Engineer 07,Engineer 07,6.96,24,NA
TCK-00008,2026-05-09 14:11:00,2026-05-10 00:11:00,2026-W18,Change Request,P1,Resolved,HR System,ATJ,Teams,Engineer 05,Engineer 05,0.65,8,Normal Change
TCK-00009,2026-04-08 19:35:00,2026-04-13 15:35:00,2026-W14,Incident,P3,Closed,SAP,ATJ,Service Portal,Engineer 04,Engineer 04,4.54,72,NA
TCK-00010,2026-04-21 10:11:00,2026-04-23 10:11:00,2026-W16,Incident,P2,Resolved,WMS,AC,Email,Engineer 13,Engineer 13,5.25,24,NA
TCK-00011,2026-04-08 08:16:00,2026-04-14 06:16:00,2026-W14,Incident,P4,Resolved,SAP,ATD,Monitoring,Engineer 12,Engineer 12,17.67,120,NA
TCK-00012,2026-05-31 13:56:00,2026-06-02 06:56:00,2026-W22,Incident,P2,Closed,MES,ATD,Service Portal,Engineer 02,Engineer 02,4.26,24,NA
TCK-00013,2026-03-22 19:27:00,2026-03-28 10:27:00,2026-W12,Change Request,P4,Resolved,WMS,ATJ,Monitoring,Engineer 15,Engineer 15,28.79,120,Standard Change
TCK-00014,2026-06-01 07:00:00,,2026-W22,Service Request,P3,In Progress,HR System,ATD,Teams,Engineer 18,Engineer 07,14.7,72,NA
TCK-00015,2026-03-29 17:11:00,2026-04-02 15:11:00,2026-W13,Incident,P3,Closed,WMS,ATJ,Teams,Engineer 12,Engineer 12,7.25,72,NA
TCK-00016,2026-06-04 09:00:00,,2026-W22,Incident,P3,In Progress,WMS,ATJ,Monitoring,Engineer 08,Engineer 11,7.5,72,NA
TCK-00017,2026-04-25 15:09:00,2026-04-29 18:09:00,2026-W16,Incident,P3,Closed,WMS,ATD,Monitoring,Engineer 03,Engineer 03,14.58,72,NA
TCK-00018,2026-03-18 19:04:00,2026-03-24 04:04:00,2026-W11,Change Request,P3,Closed,Quality System,AC,Monitoring,Engineer 07,Engineer 07,13.61,72,Standard Change
TCK-00019,2026-05-26 15:16:00,2026-06-01 03:16:00,2026-W21,Incident,P4,Resolved,SAP,ATD,Phone,Engineer 13,Engineer 13,0.25,120,NA
TCK-00020,2026-05-13 17:02:00,2026-05-15 07:02:00,2026-W19,Incident,P2,Closed,Quality System,ATD,Teams,Engineer 08,Engineer 08,2.87,24,NA
TCK-00021,2026-04-05 19:05:00,2026-04-06 20:05:00,2026-W14,Incident,P3,Closed,API Gateway,ATD,Monitoring,Engineer 18,Engineer 18,12.07,72,NA
TCK-00022,2026-06-02 22:00:00,,2026-W22,Service Request,P3,In Progress,HR System,ATJ,Service Portal,Engineer 17,Engineer 16,15.52,72,NA
TCK-00023,2026-05-31 14:00:00,,2026-W22,Change Request,P2,Pending,MES,ATD II,Phone,Engineer 03,Engineer 10,4.17,24,Normal Change
TCK-00024,2026-06-02 11:45:00,2026-06-03 11:45:00,2026-W22,Hot Fix,P2,Closed,AP Portal,ATJ,Phone,Engineer 04,Engineer 04,2.49,24,NA
TCK-00025,2026-05-29 21:00:00,,2026-W21,Change Request,P4,In Progress,SAP,ATD II,Monitoring,Engineer 18,Engineer 12,7.79,120,Normal Change
TCK-00026,2026-03-16 13:41:00,2026-03-22 06:41:00,2026-W11,Service Request,P4,Closed,SAP,ATJ,Phone,Engineer 06,Engineer 06,14.96,120,NA
TCK-00027,2026-04-27 16:15:00,2026-05-03 14:15:00,2026-W17,Incident,P3,Closed,MES,ATD,Phone,Engineer 04,Engineer 04,10.44,72,NA
TCK-00028,2026-05-31 06:00:00,,2026-W22,Service Request,P3,In Progress,SAP,ATJ,Phone,Engineer 17,Engineer 11,16.02,72,NA
TCK-00029,2026-05-18 19:51:00,2026-05-19 20:51:00,2026-W20,Service Request,P3,Resolved,SAP,ATD II,Monitoring,Engineer 17,Engineer 17,11.31,72,NA
TCK-00030,2026-06-03 20:00:00,,2026-W22,Incident,P3,Pending,MES,ATD,Service Portal,Engineer 01,Engineer 18,10.98,72,NA
